date,co_level
1990-01-02,1.2694428881856537
1990-01-05,1.7655697583333334
1990-01-08,1.775092827731094
1990-01-11,1.7045741548117164
1990-01-14,1.0866126835443046
1990-01-15,1.4973939536842107
1990-01-16,1.7900582668067233
1990-01-17,1.6081528995815904
1990-01-21,1.3051906800847453
1990-01-22,1.6375849583333333
1990-01-25,1.4924852159329145
1990-01-28,1.0291079492600435
1990-02-03,1.2857132761506282
1990-02-09,1.3363460607966451
1990-02-11,1.2707759447983029
1990-02-13,1.0441656624737949
1990-02-16,1.2864361530398318
1990-02-20,1.2876719329140471
1990-02-22,1.5184382489539761
1990-02-23,1.4980083807531381
1990-02-24,1.3579980736842108
1990-02-25,1.1542388021052623
1990-03-07,1.1161331346153844
1990-03-10,1.3236347473460723
1990-03-13,1.1883948008385754
1990-03-16,1.3230300233050845
1990-03-17,1.0784931201716739
1990-03-18,0.94295304956896642
1990-03-21,1.2588300889830515
1990-03-22,1.214829071881605
1990-03-24,0.95189656382978616
1990-03-28,1.0720126392405063
1990-03-30,1.0752565660377371
1990-03-31,1.1440144460887953
1990-04-03,1.065329780760625
1990-04-04,1.0622963094170406
1990-04-06,1.0053518022222228
1990-04-07,0.87694801777777787
1990-04-09,1.0690042101769914
1990-04-10,1.0227422022222217
1990-04-11,0.88755971618625351
1990-04-17,0.846594860986547
1990-04-18,0.8404908408071754
1990-04-22,0.85463326077097512
1990-04-26,1.0348037207207206
1990-04-30,0.85085494831460673
1990-05-05,0.90930245146726874
1990-05-07,0.87704791422121953
1990-05-11,0.88554588914027177
1990-05-12,0.80840139407744893
1990-05-14,0.88805108675799027
1990-05-24,0.92163728863636341
1990-05-26,0.76101642165898631
1990-05-27,0.69111610256410283
1990-05-30,0.81081151029748266
1990-06-02,0.80855178489702517
1990-06-04,0.87164811486486471
1990-06-07,0.92148678636363623
1990-06-13,0.820501843891403
1990-06-14,0.88376364334085755
1990-06-17,0.75785020823798555
1990-06-20,0.97603054072398188
1990-06-21,0.98942207272727212
1990-06-22,0.9747385227272729
1990-07-24,0.90827713895216333
1990-07-25,0.92399176036866371
1990-07-28,0.86552486976744214
1990-07-30,0.91843451382488539
1990-07-31,0.87847002790697581
1990-08-03,1.0702987448275865
1990-08-05,0.7103086160919545
1990-08-07,0.94631808944954177
1990-08-10,1.1740073002309468
1990-08-12,0.86369992271662732
1990-08-14,0.90981397453703761
1990-08-15,0.94015256944444436
1990-08-16,0.980408367441861
1990-08-20,0.85493713689095208
1990-08-21,0.89848412500000063
1990-08-22,0.96704222505800408
1990-08-24,1.0360489883720925
1990-08-25,0.91184165186915955
1990-08-26,0.8300657934272303
1990-08-28,1.0849999285714282
1990-08-30,0.98613736613272285
1990-09-02,0.82625666589861779
1990-09-04,0.99252491990846692
1990-09-07,1.1037610180180182
1990-09-13,1.1267159909502258
1990-09-17,0.88985941309255046
1990-09-18,0.98979632812500007
1990-09-19,0.97603182735426086
1990-09-22,0.89082769213483193
1990-09-25,1.0995415801354389
1990-09-30,0.892839333333333
1990-10-01,1.0888735677419352
1990-10-06,0.98941908658008626
1990-10-10,1.1896689382978722
1990-10-14,1.0457966076759055
1990-10-15,1.2443320426439224
1990-10-17,1.1842750063694258
1990-10-19,1.02080081779661
1990-10-22,1.4369146157112527
1990-10-23,1.5244564081196588
1990-10-24,1.5599459704016918
1990-10-25,1.5114279368421046
1990-10-29,1.3195001271186444
1990-10-30,1.5723474021052635
1990-11-03,1.3162437100213222
1990-11-09,1.5683965010706655
1990-11-22,1.2793368164146868
1990-11-23,1.3292973589743586
1990-11-24,1.3829199635193143
1990-12-01,1.6267544533898295
1990-12-05,1.5199813156779671
1990-12-06,1.8180803885350318
1990-12-07,2.0655548823529419
1990-12-09,1.7886808673684207
1990-12-10,1.9722265794979084
1990-12-11,1.7590415481171564
1990-12-19,1.1599593941299771
1990-06-26,0.99986874031890627
1990-06-30,0.79202339671361477
1990-07-01,0.69499542253521129
1990-07-02,0.82299305990783334
1990-07-04,0.64173599074074061
1990-07-07,0.69152647086247077
1990-07-09,0.838971180778032
1990-07-10,0.92958522988505787
1990-07-11,0.939796036697248
1995-01-03,1.1207131568627455
1995-01-05,1.0794355905511821
1995-01-06,1.173431337278106
1995-01-08,0.86428996620278364
1995-01-09,1.3245759150197629
1995-01-17,1.1372127207031251
1995-01-21,0.93686699218750014
1995-01-23,1.0413727509727626
1995-01-26,1.15809459375
1995-01-28,1.0134403901960793
1995-01-30,1.2417472787524366
1995-01-31,1.1738141328124985
1995-02-04,1.0420088986354779
1995-02-10,1.1660438662790704
1995-02-19,1.2525664725490182
1995-02-22,1.1069412085769987
1995-02-23,1.2012600856031144
1995-02-25,0.94602472015655559
1995-03-01,0.92499306042884921
1995-03-02,0.89229850392156906
1995-03-06,0.93674309664694211
1995-03-10,0.94104549707602414
1995-03-13,1.0724820370370365
1995-03-15,1.1837804085603119
1995-03-16,1.2002777524366468
1995-03-21,0.77773909960937493
1995-03-22,0.77091696666666754
1995-03-25,0.74685043190661482
1995-03-29,0.92408326757812509
1995-04-03,0.95066537987679633
1995-04-04,0.81769088571428572
1995-04-05,0.81969346830265843
1995-04-06,0.86211431632653068
1995-04-07,0.95305655397148659
1995-04-11,0.806670148979592
1995-04-15,0.69313877618069808
1995-04-16,0.63936729835390949
1995-04-17,0.79580330800821342
1995-04-21,0.80185166460905355
1995-04-22,0.78014805773195806
1995-04-23,0.69872062655601674
1995-04-25,0.8392866268041238
1995-04-28,0.79457736550308045
1995-04-29,0.73255961728395114
1995-05-06,0.69455443243243276
